Time,/fdm/jsbsim/fcs/right-aileron-pos-norm,/fdm/jsbsim/fcs/elevator-pos-norm,/fdm/jsbsim/fcs/rudder-pos-norm,/fdm/jsbsim/fcs/throttle-pos-norm,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/vg-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/flight-path/gamma-rad,/fdm/jsbsim/flight-path/psi-gt-rad,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/ap/attitude_hold,/fdm/jsbsim/ap/altitude_hold,/fdm/jsbsim/ap/heading_hold,/fdm/jsbsim/ap/velocity_hold,/fdm/jsbsim/ap/heading_setpoint,/fdm/jsbsim/ap/altitude_setpoint,/fdm/jsbsim/ap/velocity_setpoint,/fdm/jsbsim/ap/aileron_cmd,/fdm/jsbsim/ap/elevator_cmd,/fdm/jsbsim/ap/throttle_cmd,/fdm/jsbsim/fcs/heading-error,/fdm/jsbsim/fcs/heading-corrected,/fdm/jsbsim/fcs/altitude-error,/fdm/jsbsim/fcs/velocity-error,/fdm/jsbsim/fcs/hdot-error
35.8498566,-0.0350666316103178527,0.012700645768019032,0,0.680208591885091307,92.7976158447499841,-0.218071612090476208,-2.05820176004869637,92.4279136723211252,92.820694116036762,-0.792657293064238599,0.0316564464667759837,-0.0973228550773228562,0.0920281699782263818,5.34370759270877915,-0.167970557062412956,4.00265954148324443,306.310813885162474,176.363977953791618,37.432344730223015,-122.36714380592484,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0350666316103178527,0.012700645768019032,0.680208591885091307,-10.5454702367596482,-0.349999999999999978,40,2.17267841691736407,-0.211763158995809775
35.8998564,-0.0354117858092338061,0.0139046653865345926,0,0.686276354838000868,92.7594711856801553,-0.216556046400025792,-2.06276420574595676,92.3843883595242232,92.7826567163107825,-0.733237003085659644,0.0302060607689355887,-0.0977351931021956943,0.0926883112874684889,5.34392372824130302,-0.173860805528443463,4.0371552998237874,306.322462825655748,176.791932567954063,37.4323521977821514,-122.367156665360355,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0354117858092338061,0.0139046653865345909,0.686276354838000868,-10.5456735491256257,-0.349999999999999978,40,2.21121040986587047,-0.228356873336212018
35.9498562,-0.0357564181589984861,0.0150370529097952794,0,0.692309601517906881,92.7243204138293038,-0.215081911405324178,-2.06727749396696936,92.3441747358196636,92.7476117895882055,-0.672917763954788528,0.0301765188871386536,-0.0946184147196333925,0.0933058929360009864,5.34413607996583284,-0.179794458284045333,4.06928141610321692,306.333916510786935,177.222668614238501,37.4323596641438243,-122.36716951695567,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0357564181589984861,0.0150370529097952812,0.692309601517906881,-10.5458734536426526,-0.349999999999999978,40,2.2467568586272364,-0.243494099281393872
35.999856,-0.036100676206581632,0.0161020361117787669,0,0.69829663581002499,92.6922027284100807,-0.21358487924829106,-2.07160044896274798,92.3072985679016398,92.7155952014841063,-0.611942556589852193,0.0312538936920407351,-0.0892641119115040738,0.0938827944583379287,5.34434464940061904,-0.185762704388162336,4.09923358332871324,306.345134680692809,177.656005147844553,37.4323671295361748,-122.367182361210297,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.036100676206581632,0.0161020361117787669,0.69829663581002499,-10.5460692476435582,-0.349999999999999978,40,2.27928016952604651,-0.257251655406944835
36.0498558,-0.0364443145460034909,0.0171084891970714886,0,0.704226067017459711,92.6631433930552646,-0.212018432167951687,-2.07565322721688972,92.273764924806585,92.6866302743667489,-0.550622605394018638,0.0330291518769118553,-0.0829248748965696336,0.094421742688975685,5.3445493569032223,-0.191757711813196979,4.12721807144847919,306.356083563200116,178.091772641986609,37.4323745941884596,-122.367195198625964,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0364443145460034909,0.0171084891970714886,0.704226067017459711,-10.5462603416927241,-0.349999999999999978,40,2.30875470222653689,-0.269787805407819548
36.0998556,-0.0367867138625429108,0.0180677798388027,0,0.710086860545797616,92.6371510969853063,-0.210356973767364508,-2.07941243252444252,92.2435588227195495,92.6607250645419924,-0.489305850970411349,0.0350732801303698383,-0.0766800932124382939,0.0949259166641319013,5.3447500707781419,-0.197771478709647619,4.15343199851434974,306.366739488731525,178.529815889894962,37.432382058328713,-122.367208029704599,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0367867138625429108,0.0180677798388027,0.710086860545797616,-10.5464463226780936,-0.349999999999999978,40,2.33516972757566066,-0.281305214154039973
36.1498554,-0.0371269508863844161,0.0189918356961053872,0,0.715868397472611662,92.6142168630680658,-0.208595462044662838,-2.08290090829011021,92.2166470841457055,92.6378710540130328,-0.428347152664719788,0.0369994818222066368,-0.0713527549932422289,0.0953985891481831383,5.34494663871575515,-0.203794976778298609,4.1780490298876769,306.377090466142306,178.969995081424713,37.4323895221818148,-122.367220854945842,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0371269508863844161,0.0189918356961053872,0.715868397472611662,-10.5466269813147129,-0.349999999999999978,40,2.35853096808658336,-0.292017517841015817
36.1998552,-0.0374638991678606995,0.0198915966049278518,0,0.721560535854766538,92.5943143400769628,-0.20674633980960877,-2.08617460300884616,92.1929809810677909,92.6180431483641655,-0.368083154442687022,0.0385066330375020138,-0.0674745200119772903,0.0958428368098485639,5.34513891683778652,-0.209817649523692501,4.20121086018991274,306.387135930499255,179.412185434252024,37.4323969859680403,-122.367233674844798,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0374638991678606995,0.0198915966049278518,0.721560535854766538,-10.5468023077426309,-0.349999999999999978,40,2.3788608044453099,-0.302122423605830193
36.249855,-0.0377963406418614506,0.0207759364215038787,0,0.727153667685236038,92.5774011984134262,-0.204834744539994063,-2.08930866765611967,92.1724992457367449,92.6012007515740407,-0.30881357898207451,0.0394020302266548383,-0.065291611667284144,0.0962613359060632695,5.34532679292731228,-0.215827265999612744,4.22302410389679128,306.396885079232959,179.856275640428066,37.4324044499021866,-122.367246489889922,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0377963406418614506,0.0207759364215038787,0.727153667685236038,-10.546972462487302,-0.349999999999999978,40,2.39619736070774536,-0.311782840134490868
36.2998548,-0.0381230707479135178,0.0216510669202380907,0,0.732638766925254648,92.563421287777615,-0.20289300599651483,-2.09238452261101315,92.1551310888896609,92.5872896193691872,-0.250789614829754814,0.0396047426630279364,-0.064801310826801739,0.0966562468470333058,5.34551020191586623,-0.221810081691970362,4.24356170444269587,306.406354316622412,180.302165620028973,37.4324119141929685,-122.367259300561173,0,1,1,1,-5.19933800000000002,288.713919999999973,95,0.0381230707479135178,0.0216510669202380907,0.732638766925254648,-10.5471377318574007,-0.349999999999999978,40,2.41059275852620658,-0.321116296730478368
